tSchool;Schooljaar;vakgroep;ce_raw;ce_predicted;va
01. 13652-20AA-000;21-22;Klassiek;6.2384;5.8511;0.3873
01. 13652-20AA-000;22-23;Klassiek;6.1848;6.4036;-0.2188
01. 13652-20AA-000;23-24;Klassiek;6.6;6.4283;0.1717
01. 13652-20AA-000;24-25;Klassiek;5.95;6.3836;-0.4336
02. 41208-20CK-000;21-22;Klassiek;6.5017;6.1768;0.3249
02. 41208-20CK-000;22-23;Klassiek;6.5975;6.7399;-0.1424
02. 41208-20CK-000;23-24;Klassiek;6.95;6.7895;0.1605
02. 41208-20CK-000;24-25;Klassiek;6.95;6.7638;0.1862
03. 13556-21AB-000;21-22;Klassiek;6.8721;6.6633;0.2088
03. 13556-21AB-000;22-23;Klassiek;7.4108;7.2182;0.1927
03. 13556-21AB-000;23-24;Klassiek;7.3;7.259;0.041
03. 13556-21AB-000;24-25;Klassiek;7.2;7.2153;-0.0153
04. 40776-01ET-000;21-22;Klassiek;6.1841;6.3008;-0.1166
04. 40776-01ET-000;22-23;Klassiek;6.6772;6.8525;-0.1753
04. 40776-01ET-000;23-24;Klassiek;6.85;6.8921;-0.0421
04. 40776-01ET-000;24-25;Klassiek;7.0;6.8506;0.1494
05. 13556-21AF-000;21-22;Klassiek;6.3496;6.5179;-0.1684
05. 13556-21AF-000;22-23;Klassiek;7.2671;7.072;0.1951
05. 13556-21AF-000;23-24;Klassiek;7.55;7.1095;0.4405
05. 13556-21AF-000;24-25;Klassiek;6.85;7.0759;-0.2259
06. 42818-20QU-000;21-22;Klassiek;5.8864;5.7674;0.119
06. 42818-20QU-000;22-23;Klassiek;6.181;6.3139;-0.1329
06. 42818-20QU-000;23-24;Klassiek;6.1;6.3536;-0.2536
06. 42818-20QU-000;24-25;Klassiek;6.3;6.3035;-0.0035
07. 13554-20RM-000;21-22;Klassiek;6.1825;5.741;0.4415
07. 13554-20RM-000;22-23;Klassiek;6.0799;6.2812;-0.2013
07. 13554-20RM-000;23-24;Klassiek;6.1;6.3082;-0.2082
07. 13554-20RM-000;24-25;Klassiek;5.9;6.2482;-0.3482
08. 41211-02FY-007;21-22;Klassiek;5.3942;5.989;-0.5948
08. 41211-02FY-007;22-23;Klassiek;6.6063;6.5314;0.0749
08. 41211-02FY-007;23-24;Klassiek;7.5;6.5537;0.9463
08. 41211-02FY-007;24-25;Klassiek;6.5;6.445;0.055
09. 42992-03AM-000;21-22;Klassiek;5.6066;5.8803;-0.2737
09. 42992-03AM-000;22-23;Klassiek;6.0797;6.4231;-0.3434
09. 42992-03AM-000;23-24;Klassiek;6.75;6.4441;0.3059
09. 42992-03AM-000;24-25;Klassiek;6.7;6.3984;0.3016
10. 40856-02QP-000;21-22;Klassiek;5.5407;5.6372;-0.0966
10. 40856-02QP-000;22-23;Klassiek;6.5909;6.1794;0.4115
10. 40856-02QP-000;23-24;Klassiek;6.2;6.2061;-0.0061
10. 40856-02QP-000;24-25;Klassiek;6.1;6.1332;-0.0332
11. 41513-20KZ-000;21-22;Klassiek;5.3757;5.5968;-0.221
11. 41513-20KZ-000;22-23;Klassiek;6.6035;6.1413;0.4622
11. 41513-20KZ-000;23-24;Klassiek;5.8;6.1876;-0.3876
11. 41513-20KZ-000;24-25;Klassiek;5.75;6.163;-0.413
13. 41386-19ZU-000;21-22;Klassiek;5.8708;5.6464;0.2243
13. 41386-19ZU-000;22-23;Klassiek;6.1404;6.1945;-0.0541
13. 41386-19ZU-000;23-24;Klassiek;6.25;6.2345;0.0155
13. 41386-19ZU-000;24-25;Klassiek;6.2;6.1783;0.0217
14. 41525-20AI-000;21-22;Klassiek;6.0454;5.8817;0.1637
14. 41525-20AI-000;22-23;Klassiek;6.3897;6.4251;-0.0353
14. 41525-20AI-000;23-24;Klassiek;6.35;6.4646;-0.1146
14. 41525-20AI-000;24-25;Klassiek;6.6;6.4233;0.1767
15. 41360-20LU-000;21-22;Klassiek;6.8937;6.7026;0.1911
15. 41360-20LU-000;22-23;Klassiek;7.6399;7.2549;0.3849
15. 41360-20LU-000;23-24;Klassiek;7.15;7.2919;-0.1419
15. 41360-20LU-000;24-25;Klassiek;7.4;7.2464;0.1536
16. 33944-02DQ-000;21-22;Klassiek;6.2085;6.352;-0.1435
16. 33944-02DQ-000;22-23;Klassiek;6.7004;6.8986;-0.1983
16. 33944-02DQ-000;23-24;Klassiek;6.9;6.944;-0.044
16. 33944-02DQ-000;24-25;Klassiek;7.2;6.9107;0.2893
17. 42510-20BV-000;21-22;Klassiek;5.7525;5.6758;0.0767
17. 42510-20BV-000;22-23;Klassiek;5.5351;6.2239;-0.6888
17. 42510-20BV-000;23-24;Klassiek;6.3;6.2643;0.0357
17. 42510-20BV-000;24-25;Klassiek;6.25;6.2208;0.0292
18. 31240-02CR-000;21-22;Klassiek;6.3574;6.1715;0.1859
18. 31240-02CR-000;22-23;Klassiek;6.4208;6.7134;-0.2926
18. 31240-02CR-000;23-24;Klassiek;7.05;6.7572;0.2928
18. 31240-02CR-000;24-25;Klassiek;7.35;6.7263;0.6237
19. 13556-20QY-000;21-22;Klassiek;6.2494;6.2192;0.0302
